id,born,bornIn,died,imdbId,name,poster,tmdbId,url,actor,director
21066,1976-03-26,"Topanga Canyon, California, USA",,5442.0,Amy Smart,https://image.tmdb.org/t/p/w440_and_h660_face/noDadb44ECVzWFMgq8fkXcFO023.jpg,20189,https://themoviedb.org/person/20189,1,0
21067,1978-09-21,"Brampton, Ontario, Canada",,182455.0,Paulo Costanzo,https://image.tmdb.org/t/p/w440_and_h660_face/bNFyiVSSrEoQKI0mJCNE1JvhwnJ.jpg,57133,https://themoviedb.org/person/57133,1,0
21071,1970-08-03,"Montreuil, France",,627245.0,Thierry Neuvic,https://image.tmdb.org/t/p/w440_and_h660_face/e0CvOz6q1hqunt57lrIzY4mtWnT.jpg,83813,https://themoviedb.org/person/83813,1,0
21072,1948-04-26,"Ambach, Bavaria, Germany",,81547.0,Josef Bierbichler,https://image.tmdb.org/t/p/w440_and_h660_face/XbK3QlwxcXXceR06Ullp0Yr0Ng.jpg,11610,https://themoviedb.org/person/11610,1,0
21073,,,,357649.0,Alexandre Hamidi,https://image.tmdb.org/t/p/w440_and_h660_face/aMlWFpbDrigPcqKYjHNfn8bqgnP.jpg,1362307,https://themoviedb.org/person/1362307,1,0
21074,1950-11-12," Tokyo, Japan",,848987.0,Hideyuki Tanaka,https://image.tmdb.org/t/p/w440_and_h660_face/1D1PmELZexM6aod77gbh9GwvvGG.jpg,67471,https://themoviedb.org/person/67471,1,0
21075,1931-05-10,"Osaka, Japan",2014-01-27,619077.0,Ichirô Nagai,https://image.tmdb.org/t/p/w440_and_h660_face/1dU3N0bExrWiNYDocDK6iuKNruf.jpg,617,https://themoviedb.org/person/617,1,0
21076,,,,,Pras Michel,,1953436,https://themoviedb.org/person/1953436,1,0
21077,1976-02-29,"Hollis, Queens, New York City, New York, USA",,750019.0,Ja Rule,https://image.tmdb.org/t/p/w440_and_h660_face/jiYEwuTCkp0vW14eHLFDRJ9v111.jpg,61658,https://themoviedb.org/person/61658,1,0
21078,1956-09-30,"Detroit, Michigan, USA",,193554.0,Vondie Curtis-Hall,https://image.tmdb.org/t/p/w440_and_h660_face/eJbwjnUB3VGGioAtQTmiYI4k7lH.jpg,6198,https://themoviedb.org/person/6198,1,1
21079,1951-10-29,"Oran, Algérie",,23348.0,Anne Alvaro,https://image.tmdb.org/t/p/w440_and_h660_face/qVGJMYoNm0wLLCVa8xSmDaHWBxe.jpg,35324,https://themoviedb.org/person/35324,1,0
21080,1951-05-24,"Castiglione, Alger, France",,45870.0,Jean-Pierre Bacri,https://image.tmdb.org/t/p/w440_and_h660_face/tAxULq3OY0l3ueYZTJdUoXk5JEa.jpg,28281,https://themoviedb.org/person/28281,1,0
21081,1964-10-19,"Antony, Seine, Francia",,418450.0,Agnès Jaoui,https://image.tmdb.org/t/p/w440_and_h660_face/5iapBWdu5lnnZ0hLOFVYPY2yslB.jpg,28279,https://themoviedb.org/person/28279,1,1
21082,1965-07-20,"Paris, France",,524217.0,Laurent Lucas,https://image.tmdb.org/t/p/w440_and_h660_face/dMb87uO627isT2BbCHEVbaiCL2g.jpg,18178,https://themoviedb.org/person/18178,1,0
21083,1977-12-01,"Paris, France",,347069.0,Sophie Guillemin,,67902,https://themoviedb.org/person/67902,1,0
21084,1970-10-15,Libertyville - Illinois - USA,,651008.0,Zak Orth,https://image.tmdb.org/t/p/w440_and_h660_face/ldywlWMt89PO3qLDL174TpTc0ce.jpg,6212,https://themoviedb.org/person/6212,1,0
